Title,Genre
Fantasmagorie,"Animation, Fantasy"
His New Job,"Comedy, Silent Cinema"
The Tramp,"Comedy, Slapstick Drama"
A Woman,"Comedy, Silent Cinema"
A Night In The Show,"Comedy, Slapstick"
The Champion,"Comedy, Sport"
The Fireman,"Comedy, Short Narrative"
The Vagabond,"Comedy, Romance Drama"
One A M,"Comedy, Silent Short"
The Count,"Comedy, Slapstick"
The Pawnshop,"Comedy, Classic Cinema"
The Rink,"Comedy, Slapstick Short"
Easy Street,"Comedy, Action Short"
The Cure,"Comedy, Slapstick"
The Immigrant,"Comedy, Drama Romance"
Shoulders Arms,"Comedy, War Satire"
A Day's Pleasure,"Comedy, Family Short"
The Kid,"Comedy, Family Drama"
The Gold Rush,"Comedy, Adventure Drama"
The Circus,"Comedy, Romance Drama"
Steamboat Willie,"Animation, Family Comedy"
City Lights,"Comedy, Drama Romance"
First Flight,"Animation, Family Short"
Modern Times,"Comedy, Drama Romance"
Snow White And The Seven Dwarfs,"Animation, Family Fantasy"
The Wizard Of Oz,"Adventure, Family Fantasy"
The Great Dictator,"Comedy, War Drama"
Cinderella,"Animation, Family Fantasy"
Alice In Wonderland,"Animation, Family Adventure"
Limelight,"Drama, Music Romance"
Sleeping Beauty,"Animation, Family Romance"
Titicut Follies,"Documentary, Social History"
The Jungle Book,"Animation, Family Musical"
2001 A Space Oddyssey,"Sci-Fi, Mystery Adventure"
The Godfather,"Crime, Drama Noir"
Terminal Island,"Action, Thriller Drama"
The Godfather,"Crime, Drama Noir"
Jaws,"Thriller, Horror Adventure"
Sholay,"Action, Bollywood Masala"
120 Days Of Solace,"Drama, Art-House Narrative"
Rocky,"Drama, Sport Classic"
Star Wars: Episode Iv - A New Hope,"Sci-Fi, Space Opera Action"
Faces Of Death,"Horror, Documentary Splatter"
Rocky,"Drama, Sport Classic"
Star Wars: Episode V - The Empire Strikes Back,"Sci-Fi, Space Opera Fantasy"
Faces Of Death 2,"Horror, Documentary Shock"
Raiders Of The Lost Ark,"Action, Adventure Archeology"
Orgasmo Caliente,"Drama, Adult Cinema"
Rocky 3,"Drama, Sport Action"
Star Wars: Episode Vi - Return Of The Jedi,"Sci-Fi, Space Opera Epic"
Indiana Jones And The Temple Of Doom,"Action, Adventure Exploration"
Ghostbusters,"Comedy, Fantasy Sci-Fi"
The Terminator,"Sci-Fi, Action Tech-Noir"
Faces Of Death 3,"Horror, Documentary Shock"
Top Gun,"Action, Drama Romance"
What Every French Women Wants,"Drama, Comedy Romance"
